as_of_date,step_week,Date,predicted_weekly_log_return,projected_price,anchor_weekly_log_return,raw_1w_log_return
2026-05-11,1,2026-05-18,0.011296658315193402,296.01762864820716,-0.005369258614686819,0.014118103310465813
2026-05-11,2,2026-05-25,-0.009847324261631946,290.82411792030837,-0.006035895291882028,0.006671500392258167
2026-05-11,3,2026-06-01,0.0094619500490941,291.29241432513095,-0.0058770857514757815,0.008543640375137329
2026-05-11,4,2026-06-08,0.016891798036065147,293.9372811141207,-0.00654400035150056,0.006671500392258167
2026-05-11,5,2026-06-15,-0.020395662303747335,285.75012692955266,-0.007609263914571728,0.0034635555930435658
2026-05-11,6,2026-06-22,-0.02054588031371274,277.74928678859584,-0.00700038780080146,0.00793815404176712
2026-05-11,7,2026-06-29,0.0012597775360787362,275.9240460503749,-0.006323113175155897,0.013309772126376629
2026-05-11,8,2026-07-06,0.00042302402765979734,273.8815327158262,-0.0067222126862735085,0.011573651805520058
2026-05-11,9,2026-07-13,0.004973855899105657,273.09412079394485,-0.007119170281492024,0.01204428169876337
2026-05-11,10,2026-07-20,-0.006159659346264149,269.29403118137424,-0.007830524762703652,0.009881610050797462
2026-05-11,11,2026-07-27,0.014439467678411862,271.07358006767805,-0.007934953851231122,0.01112700067460537
2026-05-11,12,2026-08-03,0.017278182754951514,273.64057469749196,-0.00942658195320732,0.007907426916062832
2026-05-11,13,2026-08-10,0.006868776911401437,273.3713822174972,-0.011334065146647239,0.004396218806505203
2026-05-11,14,2026-08-17,0.01881559954568623,276.3847284730299,-0.012734283766497137,0.00516050448641181
2026-05-11,15,2026-08-24,0.01148979074155576,277.3917102530976,-0.015363440709179084,0.0022324270103126764
2026-05-11,16,2026-08-31,-0.008623483574918215,272.85871514169077,-0.0178046435683368,0.0011140650603920221
2026-05-11,17,2026-09-07,0.0020195508396118073,271.27163966714875,-0.018722759567678656,0.002311474410817027
2026-05-11,18,2026-09-14,-0.012025659276792744,265.93236621718626,-0.021027460724044263,0.0023518388625234365
2026-05-11,19,2026-09-21,0.009061068989282061,266.25382343479737,-0.022152685904950703,0.004233741667121649
2026-05-11,20,2026-09-28,0.0021140890558775044,264.7301910746483,-0.026611793746983952,0.002631105249747634
2026-05-11,21,2026-10-05,-0.0020268626927775766,262.1275695346383,-0.031399440880794195,0.0020628615748137236
2026-05-11,22,2026-10-12,-0.008600576505411614,257.849919813432,-0.03727395651839752,0.0032149541657418013
2026-05-11,23,2026-10-19,0.014561718657230842,259.585576371128,-0.044442301521643995,0.003888743929564953
2026-05-11,24,2026-10-26,0.002323466004499835,258.1541487957314,-0.06411030824793561,0.0017495931824669242
2026-05-11,25,2026-11-02,-0.005106044205746636,254.8302997361888,-0.09732719537415334,0.001046311459504068
2026-05-11,26,2026-11-09,-0.003499603599552142,251.95367038486185,-0.18954834654256003,0.002793119987472892
