feature,importance
commercial_long_chg_1,0.00025414035
weather_tmax_c_chg_1,0.00024350808
tavg_anom_30d,0.00022761215
spec_net_chg_1,0.00019553956
spec_net_lag_1_lag_1,0.00017714458
commercial_short_chg_1,0.00014327567
comm_z_52w_chg_1,0.0001339365
month_cos,6.823815e-05
comm_net_pct_oi,0.0
rank1_dte,0.0
rank1_price_spec_net_interaction,0.0
spec_net,0.0
days_to_expiry,0.0
instrument_id,0.0
quarter_lag_1,0.0
quarter,0.0
comm_net_lag_1_lag_1,0.0
rank1_dte_chg_1,0.0
instrument_id_chg_1,0.0
month_lag_1,0.0
year_chg_1,0.0
cm_6m_price_chg_1,0.0
weekofyear_chg_1,0.0
month_chg_1,0.0
month_sin_lag_1,0.0
month_cos_chg_1,0.0
instrument_id_lag_1,0.0
rank1_dte_lag_1,0.0
quarter_chg_1,0.0
heat_7d_flag_lag_1,0.0
comm_net_chg_1,0.0
commercial_short_lag_1,0.0
commercial_long,0.0
curve_slope_1_6_chg_1,0.0
days_to_expiry_chg_1,0.0
heat_7d_flag,0.0
spot_proxy_price_lag_1_lag_1,0.0
comm_net_pct_oi_lag_1_lag_1,0.0
heat_7d_flag_chg_1,0.0
