horizon_weeks,fold,model,n_obs,rmse,mae,r2,dir_acc,corr,n_features_used
4,1,xgb,804,0.04988533881147798,0.04084179786803216,0.6737526621445499,0.822139303482587,0.8719019250760004,45
4,1,zero,804,0.08737942877238127,0.07051896869660025,-0.0009664625709822072,0.0037313432835820895,,45
4,1,trailing,804,0.13544387817296424,0.10565663420629853,-1.4050266053176177,0.48756218905472637,-0.19240472827043498,45
4,2,xgb,804,0.06372633272712738,0.03977418568199255,0.5917082399583833,0.818407960199005,0.8032780988678411,45
4,2,zero,804,0.09986383878140737,0.07000944632755353,-0.0026498069461533547,0.0024875621890547263,,45
4,2,trailing,804,0.14512437496025574,0.11190784827751031,-1.11745157147958,0.4166666666666667,-0.06694395518168708,45
4,3,xgb,804,0.04113732008180951,0.032521536183432474,0.7045296535795378,0.8134328358208955,0.8486631778054865,45
4,3,zero,804,0.07585584075057743,0.058439847777729946,-0.004661967848707205,0.0,,45
4,3,trailing,804,0.11580119228968709,0.08974582347659465,-1.3413587970581906,0.4465174129353234,-0.21729846198121167,45
4,4,xgb,804,0.05290930670313946,0.040815259850233085,0.7135800231225053,0.8768656716417911,0.8624792293275896,48
4,4,zero,804,0.09936291551815113,0.08013902676388104,-0.01015453064529348,0.0,,48
4,4,trailing,804,0.14487469597692432,0.11935147222461598,-1.1474558257898186,0.4527363184079602,-0.06338551319620839,48
4,5,xgb,804,0.10125197525822681,0.07610122082041672,0.027641169187427095,0.6156716417910447,0.2771551034653633,48
4,5,zero,804,0.1034282563188268,0.07860534943252036,-0.014607247349136099,0.0,,48
4,5,trailing,804,0.15279604152795165,0.1226369436995326,-1.214337222001829,0.4689054726368159,-0.08512398141535943,48
12,1,xgb,797,0.08522179745920545,0.06655131037602825,0.6303501973463337,0.8419071518193224,0.8621287571948976,32
12,1,zero,797,0.14127084011425756,0.1202952220460872,-0.015767128876933656,0.0,,32
12,1,trailing,797,0.15576775431211434,0.12357253612994173,-0.2349353327473005,0.7013801756587202,0.4156056467440875,32
12,2,xgb,797,0.09723221066015487,0.06099820837982453,0.700551850204213,0.8745294855708908,0.9165027481302347,19
12,2,zero,797,0.17858190234015453,0.12461294199522219,-0.010127522071861073,0.002509410288582183,,19
12,2,trailing,797,0.25434292077929754,0.17801597248328765,-1.0489936981529966,0.562107904642409,-0.014760076991699069,19
12,3,xgb,797,0.06853306057963321,0.05205643211197733,0.5286209436231926,0.794228356336261,0.8259580738577154,19
12,3,zero,797,0.10216042615471993,0.0823215231368357,-0.047455110774956344,0.0,,19
12,3,trailing,797,0.1554026457485833,0.12412575695664509,-1.4237445483188056,0.4215809284818068,-0.33304274989474286,19
12,4,xgb,797,0.05350958735809029,0.040138967740803465,0.8789164286044525,0.9146800501882058,0.9492773011015349,16
12,4,zero,797,0.15683271143013516,0.12783995505000276,-0.04014843532471413,0.0,,16
12,4,trailing,797,0.21338243985364774,0.1681990506175518,-0.9254815943200867,0.5169385194479298,0.0034622065733958276,16
12,5,xgb,797,0.1791889058245759,0.15252949920894898,-0.07798856668088416,0.4993726474278545,0.12126784793571953,19
12,5,zero,797,0.1775760799884156,0.1488943718666347,-0.058670590954881696,0.0,,19
12,5,trailing,797,0.2647143268545377,0.2151962702303223,-1.3525930687801466,0.5282308657465495,-0.20812061276357324,19
26,1,xgb,785,0.201051133091714,0.1639603040989026,0.3036660833804036,0.9146496815286624,0.7311432075574096,26
26,1,zero,785,0.2468363877447008,0.21788907560881007,-0.04959768317698954,0.0012738853503184713,,26
26,1,trailing,785,0.25209517802477616,0.19800115364771131,-0.09479694391131588,0.7898089171974523,0.521351592505301,26
26,2,xgb,785,0.1320400807018061,0.10607705820580396,0.73702648708697,0.8611464968152867,0.9424166780587371,9
26,2,zero,785,0.26032798463205753,0.20652166675241795,-0.022214785010211457,0.0,,9
26,2,trailing,785,0.38946874081636995,0.32879934801832417,-1.287945413063809,0.5006369426751592,-0.10564159953136296,9
26,3,xgb,785,0.10012913661261705,0.08377529620128457,0.11150677618992988,0.7414012738853503,0.7340235993491322,12
26,3,zero,785,0.11988097615061145,0.09612444221819252,-0.2736019590298713,0.0012738853503184713,,12
26,3,trailing,785,0.19214842179864894,0.14394519615065737,-2.271951222848873,0.6471337579617834,-0.26043010700166414,12
26,4,xgb,785,0.16076871889495856,0.13119582532260832,0.4951495761571324,0.913375796178344,0.9180461825312677,22
26,4,zero,785,0.24207280659375108,0.20277679971387555,-0.1445944453286394,0.0012738853503184713,,22
26,4,trailing,785,0.2825845457492993,0.2400918397661686,-0.5597551821721543,0.5770700636942675,0.07791294151799003,22
26,5,xgb,785,0.25999140109493757,0.2135674602229275,-0.4740943784367624,0.3554140127388535,0.12400097369986302,15
26,5,zero,785,0.23836081858898012,0.1990894389504688,-0.23901640769292887,0.0,,15
26,5,trailing,785,0.2953848705914587,0.24332463375030278,-0.9027591351842108,0.6038216560509554,0.1474496955250477,15
52,1,xgb,763,0.4953289576196463,0.4580194131439136,-0.8210661146356706,0.18872870249017037,-0.5201494244250787,23
52,1,zero,763,0.390794684411127,0.3575369327386145,-0.13353666595394453,0.0,,23
52,1,trailing,763,0.5805038223458832,0.45169120473777374,-1.5012001404298934,0.6120576671035387,0.08435293058086221,23
52,2,xgb,763,0.2858675358616662,0.23044618138178755,0.2905541852292295,0.6330275229357798,0.6778409280685768,23
52,2,zero,763,0.34160065759698716,0.3065528992398955,-0.013040832769775301,0.0,,23
52,2,trailing,763,0.6893990127099145,0.6476408065654344,-3.1260156317888983,0.07732634338138926,-0.8697322564831418,23
52,3,xgb,763,0.13573135562635097,0.09926588081764968,0.013638812014518331,0.8112712975098296,0.20753570551168965,26
52,3,zero,763,0.17203287390005584,0.15109746151365788,-0.584522792728446,0.0,,26
52,3,trailing,763,0.26603908683470456,0.21467654667918504,-2.7893655159808066,0.4613368283093054,-0.3635867817427164,26
52,4,xgb,763,0.37221645407413223,0.2976688571886421,-0.43326187439640695,0.5176933158584535,0.720206506129941,26
52,4,zero,763,0.3782719307757081,0.3153054797508777,-0.4802758227847794,0.001310615989515072,,26
52,4,trailing,763,0.5113509039396706,0.41299724292667905,-1.7050323891347587,0.5596330275229358,-0.4803726528547276,26
52,5,xgb,763,0.37759612726752567,0.3197506182696508,-0.23947760690050424,0.6592398427260813,0.4490577298024126,26
52,5,zero,763,0.389342131626107,0.3392728077337214,-0.31779066493811325,0.0,,26
52,5,trailing,763,0.5699557372207631,0.49933373192593977,-1.8240077321481603,0.40235910878112713,-0.3428776059250316,26
