as_of_date,step_week,Date,predicted_weekly_log_return,projected_price,anchor_weekly_log_return,raw_1w_log_return
2026-05-11,1,2026-05-18,-0.004292627107704267,293.0426413742511,-0.004946923599793361,-0.010095681995153427
2026-05-11,2,2026-05-25,-0.012232102832102125,288.79625289463934,-0.004973095459476925,0.0025507337413728237
2026-05-11,3,2026-06-01,0.00899243973261296,290.7167062116916,-0.004670636818950875,0.00727436225861311
2026-05-11,4,2026-06-08,0.01377208034466682,294.0520398781476,-0.005264683625540606,0.001584237557835877
2026-05-11,5,2026-06-15,-0.024921460309083064,286.13699529178416,-0.006129991078731853,-0.003549380460754037
2026-05-11,6,2026-06-22,-0.020996677468761004,279.5299454125731,-0.00523515921061989,0.006641248241066933
2026-05-11,7,2026-06-29,-0.000647785851569921,278.6891611874099,-0.0044470832977128345,0.010035363957285881
2026-05-11,8,2026-07-06,3.784335130167186e-05,278.04147393248905,-0.00464704632119404,0.010363645851612091
2026-05-11,9,2026-07-13,0.004218466450675793,278.55740458449316,-0.004907317969666025,0.010363645851612091
2026-05-11,10,2026-07-20,-0.005256655655584867,276.4425174774896,-0.005444128817921425,0.010363645851612091
2026-05-11,11,2026-07-27,0.014524328066755916,279.8245044714474,-0.005455845890567461,0.010571113787591457
2026-05-11,12,2026-08-03,0.016326554370515407,283.75880359197777,-0.0067878574877223525,0.006073161028325558
2026-05-11,13,2026-08-10,0.002671314251506173,283.84585063165486,-0.008438886906167906,-0.001382343121804297
2026-05-11,14,2026-08-17,0.012155673985276512,286.63865715842167,-0.009293517764450528,-0.003548286622390151
2026-05-11,15,2026-08-24,0.006276507445146444,287.7621579701396,-0.011080950410261114,-0.004715972580015659
2026-05-11,16,2026-08-31,-0.01389165610206862,283.1220411093696,-0.012658901124389072,-0.005845566745847464
2026-05-11,17,2026-09-07,-0.003388015933432057,281.4980252107141,-0.012535625626621116,-0.004768893122673035
2026-05-11,18,2026-09-14,-0.017085159649508352,276.0758579407411,-0.013552026703642122,-0.004282492678612471
2026-05-11,19,2026-09-21,0.008374292537865643,277.7399852042191,-0.013110385085408844,0.0024861078709363937
2026-05-11,20,2026-09-28,-0.0024272934400480883,276.4122692708644,-0.016179624745876628,-0.0032843812368810177
2026-05-11,21,2026-10-05,-0.005742666162930767,274.1803817085551,-0.018471679963514717,-0.0029048104770481586
2026-05-11,22,2026-10-12,-0.011852107053623892,270.3100174359292,-0.021017482723631506,-0.00118913222104311
2026-05-11,23,2026-10-19,0.013644061660665454,273.3762298054007,-0.023308826641133408,0.001998176099732518
2026-05-11,24,2026-10-26,-0.000755729870949164,272.5245360538884,-0.035626456075066364,-0.002239981899037957
2026-05-11,25,2026-11-02,-0.009342872326505238,269.3525674720687,-0.05306181917712496,-0.003876939183101058
2026-05-11,26,2026-11-09,-0.004919982921601484,267.397576428837,-0.09678076602774467,0.0013756639091297984
