as_of_date,horizon_weeks,current_price,predicted_log_change,projected_price,n_features_used
2026-05-11,4,295.0,0.01819867268204689,300.4177569080114,47
2026-05-11,12,295.0,0.2050487995147705,362.1375658704432,32
2026-05-11,26,295.0,-0.12862001359462738,259.39586801473257,31
2026-05-11,52,295.0,-0.058763448148965836,278.16428939691775,30
