n_obs,rmse,mae,r2,directional_accuracy,pearson_r,horizon_weeks,split,model
925,0.10819142946346898,0.08687478299223293,-0.08061409204129344,0.5254054054054054,0.12872499368090842,4,test,model_b_xgboost
917,0.1742009236532355,0.14577537760826473,0.041670575071534044,0.5757906215921483,0.3406646065982595,12,test,model_b_xgboost
903,0.22896791893747998,0.19194436315540667,-0.01957172607106039,0.5337763012181617,0.5265899358822697,26,test,model_b_xgboost
877,0.4078180961671517,0.3311928253210119,-0.3568867048451372,0.6396807297605474,0.13495000178429373,52,test,model_b_xgboost
