n_obs,rmse,mae,r2,directional_accuracy,pearson_r,horizon_weeks,model
480,0.09871628916853047,0.07281777592967648,0.2669154986819342,0.8291666666666667,0.6223156993082882,12,model_b_walkforward
480,0.11631028077267845,0.09222519124619695,0.6202437442283442,0.8041666666666667,0.8571289936441235,26,model_b_walkforward
480,0.15670544132227734,0.12178740127604853,0.7856458366426844,0.93125,0.9097094606184516,52,model_b_walkforward
