forecast_origin_date,horizon_weeks,horizon_days,projected_date,predicted_cumulative_log_return,projected_price
2026-04-02,1,5,2026-04-09,0.0008645321358926594,295.6554932180781
2026-04-02,2,10,2026-04-16,0.006707754451781511,297.38813115838326
2026-04-02,3,15,2026-04-23,0.0021755762863904238,296.04336482586814
2026-04-02,4,20,2026-04-30,0.0036465481389313936,296.47915672288656
2026-04-02,5,25,2026-05-07,0.006291793659329414,297.26445507966383
2026-04-02,6,30,2026-05-14,0.004488915670663118,296.7290063561805
2026-04-02,7,35,2026-05-21,0.008387991227209568,297.88823366058193
2026-04-02,8,40,2026-05-28,0.009863289073109627,298.3280318669251
2026-04-02,9,45,2026-06-04,0.008295168168842793,297.8605840469628
2026-04-02,10,50,2026-06-11,0.004337044432759285,296.68394517649836
2026-04-02,11,55,2026-06-18,0.004055843222886324,296.60052902107645
2026-04-02,12,60,2026-06-25,0.006949924863874912,297.4601584857493
2026-04-02,13,65,2026-07-02,0.0048833428882062435,296.84606743704245
2026-04-02,14,70,2026-07-09,0.007260662969201803,297.55260505439935
2026-04-02,15,75,2026-07-16,0.00950898602604866,298.2223520586554
2026-04-02,16,80,2026-07-23,0.004710983019322157,296.7949074968672
2026-04-02,17,85,2026-07-30,0.00853910855948925,297.93325313729616
2026-04-02,18,90,2026-08-06,0.004000418819487095,296.58409056925746
2026-04-02,19,95,2026-08-13,0.0005272514536045492,295.55579114633986
2026-04-02,20,100,2026-08-20,0.012146837078034878,299.01005667072474
2026-04-02,21,105,2026-08-27,0.021074147894978523,301.6913630039104
2026-04-02,22,110,2026-09-03,0.014435012824833393,299.69502759851844
2026-04-02,23,115,2026-09-10,0.019692687317728996,301.27487602583085
2026-04-02,24,120,2026-09-17,0.013777390122413635,299.49800613456154
2026-04-02,25,125,2026-09-24,0.021946335211396217,301.95460916748976
2026-04-02,26,130,2026-10-01,0.01865295134484768,300.9617924898138
2026-04-02,27,135,2026-10-08,0.017442120239138603,300.59759912266156
2026-04-02,28,140,2026-10-15,0.013831044547259808,299.514075958928
2026-04-02,29,145,2026-10-22,0.028562964871525764,303.95915534716204
2026-04-02,30,150,2026-10-29,0.04208751022815704,308.0979895686583
2026-04-02,31,155,2026-11-05,0.02891373261809349,304.06579311658345
2026-04-02,32,160,2026-11-12,0.030948717147111893,304.6851923215264
2026-04-02,33,165,2026-11-19,0.02562142163515091,303.06636009129517
2026-04-02,34,170,2026-11-26,0.03399725258350372,305.615453173395
2026-04-02,35,175,2026-12-03,0.03238082677125931,305.12184751220644
2026-04-02,36,180,2026-12-10,0.034211818128824234,305.6810347552859
2026-04-02,37,185,2026-12-17,0.03919519856572151,307.20816161046525
2026-04-02,38,190,2026-12-24,0.03554351255297661,306.0883796541047
2026-04-02,39,195,2026-12-31,0.031238580122590065,304.7735220791016
2026-04-02,40,200,2027-01-07,0.025606531649827957,303.0618474712381
2026-04-02,41,205,2027-01-14,0.021793393418192863,301.90843121945676
2026-04-02,42,210,2027-01-21,0.02922084741294384,304.1591905613919
2026-04-02,43,215,2027-01-28,0.03386613726615906,305.57538493310415
2026-04-02,44,220,2027-02-04,0.02876768447458744,304.0213881147081
2026-04-02,45,225,2027-02-11,0.027941208332777023,303.7702254950843
2026-04-02,46,230,2027-02-18,0.0316694900393486,304.9048803118809
2026-04-02,47,235,2027-02-25,0.017936382442712784,300.74620987770726
2026-04-02,48,240,2027-03-04,0.03271586447954178,305.2240919636607
2026-04-02,49,245,2027-03-11,0.027322934940457344,303.582470495223
2026-04-02,50,250,2027-03-18,0.011321100406348705,298.76325501234203
2026-04-02,51,255,2027-03-25,0.024992987513542175,302.8759626818825
2026-04-02,52,260,2027-04-01,0.023505477234721184,302.42576649292664
