model,rmse,mae,r2
primary_bridge_model_5d,0.05245770444279752,0.041959116011427045,-0.03886624886442758
fallback_autoregressive_model_5d,0.0521580407363372,0.04154257521697708,-0.027031139567804008
zero_return_baseline_5d,0.051493121945759834,0.041093232876302135,-0.0010125435797438964
