target,feature,lag_days,correlation,abs_correlation,n_obs
coffee_c,sugar,189,0.502538093523232,0.502538093523232,4376
coffee_c,usd_brl,178,0.4591773231729903,0.4591773231729903,2696
coffee_c,soybeans,-196,0.26916993521122656,0.26916993521122656,4404
coffee_c,tmin,-135,-0.07435202231264637,0.07435202231264637,4099
coffee_c,tmax,200,0.06155758295454821,0.06155758295454821,4385
coffee_c,usd_brl_return_pct,166,-0.0481570122547604,0.0481570122547604,2757
coffee_c,sugar_return_pct,-124,-0.04323099997805338,0.04323099997805338,2874
coffee_c,tmin_change_pct,172,0.03929234333957099,0.03929234333957099,4358
coffee_c,rainfall,84,0.024313779552646388,0.024313779552646388,4271
coffee_c,tmax_change_pct,-187,-0.022982345086642028,0.022982345086642028,4063
coffee_c,soybeans_return_pct,-148,-0.021950214581052757,0.021950214581052757,3682
coffee_c_return_pct,sugar_return_pct,0,0.23459743290358123,0.23459743290358123,4702
coffee_c_return_pct,soybeans_return_pct,0,0.17776982981347092,0.17776982981347092,4692
coffee_c_return_pct,usd_brl_return_pct,0,-0.12280082381284352,0.12280082381284352,4493
coffee_c_return_pct,soybeans,170,-0.050189053809011605,0.050189053809011605,2985
coffee_c_return_pct,tmax,-140,-0.05009410202852699,0.05009410202852699,4096
coffee_c_return_pct,sugar,-3,0.046557794625061974,0.046557794625061974,2863
coffee_c_return_pct,rainfall,-199,0.04614491881801763,0.04614491881801763,4054
coffee_c_return_pct,tmax_change_pct,133,0.04497531235158998,0.04497531235158998,4319
coffee_c_return_pct,tmin_change_pct,-2,-0.03791265029616081,0.03791265029616081,4189
coffee_c_return_pct,tmin,92,-0.03293243337693589,0.03293243337693589,4279
coffee_c_return_pct,usd_brl,174,0.031716091300895075,0.031716091300895075,3519
