target,feature,lag_days,correlation,abs_correlation,n_obs
coffee_c_return_pct,sugar_return_pct,98,-0.02870849412527067,0.02870849412527067,4485
coffee_c_return_pct,sugar_return_pct,99,0.007035634041939497,0.007035634041939497,3712
coffee_c_return_pct,sugar_return_pct,100,0.03594516289295238,0.03594516289295238,2895
coffee_c_return_pct,sugar_return_pct,101,0.0029612152718817464,0.0029612152718817464,2805
coffee_c_return_pct,sugar_return_pct,102,0.028817339175845856,0.028817339175845856,2802
coffee_c_return_pct,sugar_return_pct,103,-0.01916938401271926,0.01916938401271926,2883
coffee_c_return_pct,sugar_return_pct,104,-0.015258538122254051,0.015258538122254051,3703
coffee_c_return_pct,sugar_return_pct,105,0.01681109083310279,0.01681109083310279,4458
coffee_c_return_pct,sugar_return_pct,106,-0.021241215372541172,0.021241215372541172,3706
coffee_c_return_pct,sugar_return_pct,107,-0.03441216967017327,0.03441216967017327,2890
coffee_c_return_pct,sugar_return_pct,108,-0.01828478188402086,0.01828478188402086,2800
coffee_c_return_pct,sugar_return_pct,109,0.018267562338234858,0.018267562338234858,2799
coffee_c_return_pct,sugar_return_pct,110,-0.00021660152579965931,0.00021660152579965931,2879
coffee_c_return_pct,sugar_return_pct,111,0.004527133106646294,0.004527133106646294,3697
coffee_c_return_pct,sugar_return_pct,112,-0.004418380576163084,0.004418380576163084,4451
coffee_c_return_pct,sugar_return_pct,113,-0.015128601475188217,0.015128601475188217,3702
coffee_c_return_pct,sugar_return_pct,114,-0.027901912664788225,0.027901912664788225,2886
coffee_c_return_pct,sugar_return_pct,115,0.00041047931749391977,0.00041047931749391977,2798
coffee_c_return_pct,sugar_return_pct,116,0.010319557234920692,0.010319557234920692,2793
coffee_c_return_pct,sugar_return_pct,117,0.00762910054444289,0.00762910054444289,2874
coffee_c_return_pct,sugar_return_pct,118,0.023382256527160635,0.023382256527160635,3692
coffee_c_return_pct,sugar_return_pct,119,5.987053690248105e-05,5.987053690248105e-05,4445
coffee_c_return_pct,sugar_return_pct,120,-0.011303574521009122,0.011303574521009122,3698
coffee_c_return_pct,sugar_return_pct,121,0.0024752244790480194,0.0024752244790480194,2879
coffee_c_return_pct,sugar_return_pct,122,-0.021162336993112794,0.021162336993112794,2791
coffee_c_return_pct,sugar_return_pct,123,0.008157513625133107,0.008157513625133107,2786
coffee_c_return_pct,sugar_return_pct,124,0.012369646325814937,0.012369646325814937,2873
coffee_c_return_pct,sugar_return_pct,125,-0.00288562130896968,0.00288562130896968,3687
coffee_c_return_pct,sugar_return_pct,126,-0.002418999103481949,0.002418999103481949,4440
coffee_c_return_pct,sugar_return_pct,127,0.017384510906755767,0.017384510906755767,3692
coffee_c_return_pct,sugar_return_pct,128,-0.021761043383332502,0.021761043383332502,2873
coffee_c_return_pct,sugar_return_pct,129,0.002501878651990943,0.002501878651990943,2786
coffee_c_return_pct,sugar_return_pct,130,-0.007512521866241167,0.007512521866241167,2783
coffee_c_return_pct,sugar_return_pct,131,-0.020039656705772423,0.020039656705772423,2867
coffee_c_return_pct,sugar_return_pct,132,0.010025972102927425,0.010025972102927425,3681
coffee_c_return_pct,sugar_return_pct,133,0.023411289586487256,0.023411289586487256,4444
coffee_c_return_pct,sugar_return_pct,134,-0.006345768042142604,0.006345768042142604,3689
coffee_c_return_pct,sugar_return_pct,135,-0.00546972135547345,0.00546972135547345,2871
coffee_c_return_pct,sugar_return_pct,136,-0.01053783074246723,0.01053783074246723,2782
coffee_c_return_pct,sugar_return_pct,137,-0.013144278358833344,0.013144278358833344,2783
