n_obs,rmse,mae,r2,directional_accuracy,pearson_r,horizon_weeks,split,model
3698,0.0355892543699536,0.025227345711093033,0.8380648248396863,0.8910221741481882,0.9402977192834896,4,train,model_b_xgboost
3666,0.03779762842632138,0.024113995774656543,0.9269403990024717,0.9443535188216039,0.9707686554254531,12,train,model_b_xgboost
3610,0.03204827068043483,0.023277981184789662,0.9775522946166298,0.968421052631579,0.9901394799926531,26,train,model_b_xgboost
3506,0.030499140329733773,0.022234939333784565,0.991333356151887,0.9826012549914432,0.9958785227264838,52,train,model_b_xgboost
