Date,rainfall_30d,rainfall_90d,tavg,tavg_30d,rainfall_30d_pct_of_monthly_median,heat_anomaly,dryness_anomaly,drought_index,drought_flag
2001-01-01,,,21.357599999999998,,,,,0.0,0.0
2001-01-02,,,21.8874,,,,,0.0,0.0
2001-01-03,,,22.40865,,,,,0.0,0.0
2001-01-04,,,24.95515,,,,,0.0,0.0
2001-01-05,,,25.3653,,,,,0.0,0.0
2001-01-06,,,27.052999999999997,,,,,0.0,0.0
2001-01-07,,,27.1726,,,,,0.0,0.0
2001-01-08,,,27.2068,,,,,0.0,0.0
2001-01-09,,,26.63,,,,,0.0,0.0
2001-01-10,54.6586,,25.23715,24.927365,0.24728940614185616,1.1753966666666678,166.37230000000002,2.124439566696692,1.0
2001-01-11,54.6586,,25.7157,24.99903181818182,0.24728940614185616,1.2470634848484856,166.37230000000002,2.1504212249020918,1.0
2001-01-12,54.6586,,23.63065,24.885,0.24728940614185616,1.1330316666666675,166.37230000000002,2.1090808138205803,1.0
2001-01-13,56.2311,,23.733150000000002,24.796396153846153,0.25440379603032875,1.0444278205128192,164.79980000000003,2.0615255107082753,1.0
2001-01-14,73.6999,,22.40015,24.62523571428571,0.3334370895653051,0.8732673809523774,147.33100000000002,1.8280254371940183,1.0
2001-01-15,83.7252,,22.39585,24.47661,0.37879409621007737,0.7246416666666669,137.30570000000003,1.6757496490037638,1.0
2001-01-16,87.1311,,25.476399999999998,24.539096875,0.3942032539341784,0.7871285416666645,133.89980000000003,1.664975854011423,1.0
2001-01-17,87.6598,,26.28815,24.641982352941177,0.3965952271831676,0.8900140196078432,133.3711,1.6970863796408011,1.0
2001-01-18,91.2442,,26.55735,24.748391666666667,0.41281196430001416,0.9964233333333326,129.78670000000002,1.7004840629609659,1.0
2001-01-19,98.4817,,26.93335,24.86338947368421,0.4455562548041925,1.1114211403508776,122.54920000000003,1.6711417960566337,1.0
2001-01-20,98.4817,,25.0064,24.87054,0.4455562548041925,1.1185716666666643,122.54920000000003,1.6737341049582812,1.0
2001-01-21,98.4817,,23.229,24.792371428571432,0.4455562548041925,1.0404030952380978,122.54920000000003,1.6453953401465258,1.0
2001-01-22,110.1276,,23.9041,24.751995454545455,0.49824526796932006,1.0000271212121206,110.90330000000003,1.516458286422228,1.0
2001-01-23,110.8074,,24.76715,24.752654347826088,0.5013208560432048,1.0006860144927536,110.22350000000003,1.5100252193951018,1.0
2001-01-24,118.6217,,24.20315,24.729758333333333,0.536674736428255,0.9777899999999988,102.40920000000003,1.425030715404276,1.0
2001-01-25,130.1028,,24.51075,24.720997999999998,0.5886181524845621,0.969029666666664,90.92810000000003,1.3091728459116643,1.0
2001-01-26,138.40460000000002,,24.57915,24.71554230769231,0.6261776068413963,0.963573974358976,82.62630000000001,1.2257164534152063,1.0
2001-01-27,138.40460000000002,,26.382199999999997,24.77727037037037,0.6261776068413963,1.0253020370370365,82.62630000000001,1.248094974840757,1.0
2001-01-28,169.5793,,26.2882,24.831232142857143,0.7672198774017568,1.079263809523809,51.45160000000004,0.961691972103321,0.0
2001-01-29,194.6976,,25.305500000000002,24.847586206896555,0.8808614542129628,1.0956178735632207,26.333300000000037,0.7210958007702222,0.0
2001-01-30,194.6976,194.6976,26.1515,24.89105,0.8808614542129628,1.1390816666666659,26.333300000000037,0.7368529035044191,0.0
2001-01-31,202.0243,205.6293,25.71565,25.03631833333333,0.914009308200799,1.2843499999999963,19.00660000000002,0.7176092727646318,0.0
2001-02-01,215.2632,218.8682,24.912399999999998,25.137151666666668,0.8456933179592246,1.1588683333333378,39.27729999999997,0.8710659143052533,0.0
2001-02-02,218.1815,221.7865,26.5018,25.273590000000002,0.8571582911167379,1.2953066666666722,36.35899999999998,0.8918876169599497,0.0
2001-02-03,219.6441,223.2491,26.7069,25.331981666666668,0.8629043315307389,1.3536983333333374,34.89639999999997,0.8987018051763556,0.0
2001-02-04,226.3391,232.3474,27.1256,25.39065833333333,0.8892066292004613,1.4123750000000008,28.20139999999998,0.8542656091045687,0.0
2001-02-05,233.8375,239.8458,25.476399999999998,25.338105,0.9186652025905505,1.3598216666666687,20.702999999999975,0.7616197383779761,0.0
2001-02-06,275.0169,283.8749,24.44245,25.2471,1.080444565796013,1.2688166666666696,-20.47640000000004,0.44329887975940824,0.0
2001-02-07,296.537,305.395,24.37405,25.152675,1.1649894614020166,1.1743916666666685,-41.9965,0.40906660688494,0.0
2001-02-08,281.3411,305.4568,25.86945,25.12732333333333,1.105290120825566,1.1490399999999994,-26.800600000000003,0.399875765781885,0.0
2001-02-09,250.7982,305.4568,23.44265,25.067506666666667,0.985297820975444,1.0892233333333365,3.7422999999999718,0.49705682576368604,0.0
2001-02-10,255.7353,310.39390000000003,23.4854,24.993163333333335,1.0046939485072122,1.0148800000000051,-1.194800000000015,0.4216493730608207,0.0
2001-02-11,266.2276,320.88620000000003,25.63875,25.0601,1.04591450083582,1.0818166666666684,-11.687100000000015,0.37550502190899226,0.0
2001-02-12,275.8272,332.05830000000003,25.809649999999998,25.129316666666668,1.0836279491868681,1.1510333333333378,-21.286700000000025,0.400598416886959,0.0
2001-02-13,275.58000000000004,349.2799,23.53665,25.1672,1.0826567874267554,1.188916666666671,-21.03950000000006,0.41433241322332215,0.0
2001-02-14,265.9736,349.6988,23.98955,25.220323333333333,1.044916624270008,1.242040000000003,-11.433099999999996,0.433591427707494,0.0
2001-02-15,264.0303,351.1614,24.724449999999997,25.195258333333335,1.037282082811969,1.216975000000005,-9.48980000000003,0.42450451301754466,0.0
2001-02-16,272.9158,360.5756,25.502049999999997,25.169055000000004,1.0721900836998435,1.1907716666666737,-18.37530000000001,0.41500491379183924,0.0
2001-02-17,279.2606,370.5048,24.929499999999997,25.114793333333335,1.097116568876073,1.1365100000000048,-24.72010000000003,0.3953332147719099,0.0
2001-02-18,276.62379999999996,375.1055,25.5362,25.068221666666666,1.0867575101015359,1.0899383333333361,-22.08329999999998,0.37844940220582934,0.0
2001-02-19,276.8298,375.3115,26.916249999999998,25.131883333333334,1.0875668115682966,1.1536000000000044,-22.289299999999997,0.40152892081823915,0.0
2001-02-20,280.0365,378.5182,24.91245,25.187998333333333,1.1001648067792749,1.2097150000000028,-25.49600000000001,0.4218725161833513,0.0
2001-02-21,268.9811,379.1087,24.732950000000002,25.215626666666665,1.0567320328199248,1.2373433333333352,-14.440600000000046,0.4318887263579172,0.0
2001-02-22,268.3013,379.1087,24.733,25.214488333333332,1.0540613379796144,1.2362050000000018,-13.760800000000046,0.4314760418221611,0.0
2001-02-23,260.7067,379.3284,23.2461,25.18258666666667,1.0242248286618438,1.204303333333339,-6.166200000000032,0.4415296654543744,0.0
2001-02-24,271.6796,401.7824,23.276,25.141428333333334,1.0673334891697,1.1631450000000036,-17.139100000000013,0.4049893078406037,0.0
2001-02-25,292.053,430.4576,24.8868,25.15168333333333,1.1473734042323325,1.1734000000000009,-37.51250000000002,0.4087070940023996,0.0
2001-02-26,303.2113,441.6159,25.21145,25.112658333333332,1.1912104360602733,1.1343750000000021,-48.670800000000014,0.39455920468361677,0.0
2001-02-27,273.6091,443.1884,23.95535,25.03489666666667,1.0749138152867619,1.0566133333333383,-19.068600000000032,0.36636795668248734,0.0
2001-02-28,248.4908,443.1884,23.70755,24.981631666666665,0.9762328588181449,1.003348333333335,6.049699999999973,0.48857033553201046,0.0
2001-03-01,248.5114,443.209,23.8699,24.905578333333334,1.1828474520445187,0.7833808333333359,-38.41550000000001,0.26731188574604975,0.0
2001-03-02,237.5797,443.209,23.229,24.82269,1.1308154990173536,0.7004925000000028,-27.483800000000002,0.23726204677568696,0.0
2001-03-03,244.3365,463.2047,23.0282,24.75988333333333,1.1629760504607658,0.6376858333333324,-34.2406,0.21449249473259235,0.0
2001-03-04,243.7735,465.56,24.045099999999998,24.677993333333333,1.1602963218225582,0.5557958333333346,-33.67760000000001,0.18480458553809836,0.0
2001-03-05,242.3109,465.56,24.8013,24.61447333333333,1.1533347390406001,0.4922758333333306,-32.215,0.16177642590890762,0.0
2001-03-06,240.9925,473.3399,23.89555,24.506805,1.147059509490666,0.3846075000000013,-30.896600000000007,0.12274299443836811,0.0
2001-03-07,233.4941,473.3399,26.1002,24.527598333333334,1.1113691414254157,0.405400833333335,-23.398200000000003,0.13028128472840197,0.0
2001-03-08,203.0404,486.9153,24.76715,24.538421666666668,0.9664177168616808,0.4162241666666695,7.055499999999995,0.2855893483368655,0.0
2001-03-09,202.09279999999998,507.4878,23.23755,24.50053833333333,0.9619073956226656,0.3783408333333327,8.003100000000018,0.28115562955162865,0.0
2001-03-10,206.76209999999998,512.2189,23.724600000000002,24.429043333333333,0.9841320082876438,0.30684583333333393,3.333800000000025,0.20940913383107854,0.0
2001-03-11,207.10539999999997,512.5622,24.1519,24.452685,0.9857660239919007,0.33048750000000027,2.9905000000000257,0.21461070316812383,0.0
2001-03-12,202.1889,512.5828,24.09205,24.472906666666667,0.9623648057863099,0.3507091666666682,7.907000000000011,0.2701950316641862,0.0
2001-03-13,191.6966,512.5828,25.878,24.480881666666665,0.912424278627046,0.35868416666666647,18.39930000000001,0.3760635536781037,0.0
2001-03-14,180.5451,512.6034,26.12585,24.491421666666664,0.859346136692815,0.36922416666666535,29.55080000000001,0.48933173369640603,0.0
2001-03-15,163.3441,512.624,26.2711,24.582569999999997,0.7774740011585185,0.4603724999999983,46.7518,0.6911963590477999,0.0
2001-03-16,178.8833,528.5821,26.4591,24.664888333333337,0.8514364154655089,0.5426908333333387,31.21260000000001,0.5685291347672846,0.0
2001-03-17,177.558,528.7194,26.8607,24.736096666666665,0.8451283437706304,0.6138991666666662,32.53790000000001,0.6073518136874666,0.0
2001-03-18,196.3521,556.9277,24.356949999999998,24.697926666666664,0.9345832070021357,0.5757291666666653,13.743799999999993,0.409058059021955,0.0
2001-03-19,186.42290000000003,556.9277,23.67335,24.656055,0.8873228844541946,0.5338574999999999,23.672999999999973,0.49132889059218976,0.0
2001-03-20,181.9115,557.017,24.90385,24.634976666666667,0.8658498333380137,0.5127791666666681,28.18440000000001,0.5279646864536218,0.0
2001-03-21,206.30190000000002,581.6134,25.0406,24.572454999999998,0.9819415800117947,0.4502574999999993,3.7939999999999827,0.26591739963215116,0.0
2001-03-22,216.0938,594.612,25.56185,24.594101666666667,1.028548391472656,0.47190416666666835,-5.997899999999987,0.1776618570878364,0.0
2001-03-23,222.37,601.4787,26.3138,24.646796666666667,1.0584214161247316,0.5245991666666683,-12.274100000000004,0.1734947332097199,0.0
2001-03-24,225.4669,604.5756,26.13435,24.693508333333334,1.073161827527334,0.5713108333333352,-15.37100000000001,0.19042930053568785,0.0
2001-03-25,238.91870000000003,618.2471,25.26275,24.760730000000002,1.1371887790290054,0.6385325000000037,-28.82280000000003,0.21479944018525013,0.0
2001-03-26,228.33030000000002,630.1127,25.2884,24.82781,1.0867908417060972,0.7056125000000009,-18.234400000000022,0.23911822085159065,0.0
2001-03-27,211.816,642.2736,24.143349999999998,24.803028333333334,1.0081872135534296,0.680830833333335,-1.7201000000000022,0.295389604097225,0.0
2001-03-28,211.8298,653.4457,23.271749999999997,24.73837166666667,1.0082528978433183,0.6161741666666707,-1.7339000000000055,0.27181392322040177,0.0
2001-03-29,231.4066,674.595,22.23775,24.681118333333334,1.1014332026469817,0.5589208333333353,-21.310699999999997,0.18593750428559885,0.0
2001-03-30,236.5085,679.6969,22.02415,24.625004999999998,1.125716875008032,0.5028074999999994,-26.412599999999998,0.16559451314381726,0.0
2001-03-31,236.4879,679.6969,23.39995,24.609339999999996,1.1256188245463143,0.48714249999999737,-26.391999999999996,0.15991541804634724,0.0
2001-04-01,239.262,678.866,23.7588,24.627000000000002,1.9597278715433117,1.7862266666666677,-117.1726,0.6308775962855226,0.0
2001-04-02,245.9639,705.5636,20.742350000000002,24.550805000000004,2.0146212529507066,1.7100316666666693,-123.8745,0.6032543182164729,0.0
2001-04-03,244.8309,706.7859,22.45995,24.497966666666667,2.0053411680293296,1.657193333333332,-122.74150000000002,0.584098625922071,0.0
2001-04-04,244.8309,706.7859,21.94725,24.402831666666668,2.0053411680293296,1.5620583333333329,-122.74150000000002,0.5496089539081714,0.0
2001-04-05,237.05100000000002,704.3826,23.793,24.39941333333333,1.9416181912598474,1.558639999999997,-114.96160000000002,0.5483696918542382,0.0
2001-04-06,241.5899,708.9215,25.62165,24.383461666666665,1.9787950469082491,1.5426883333333308,-119.5005,0.542586670343665,0.0
2001-04-07,228.0145,706.0718,24.3741,24.370359999999998,1.867602756668474,1.5295866666666633,-105.9251,0.5378368707308117,0.0
2001-04-08,207.442,706.0718,23.963900000000002,24.394571666666668,1.699099184695805,1.553798333333333,-85.35260000000001,0.5466144230747787,0.0
2001-04-09,202.7109,690.8141,24.3057,24.41394166666667,1.6603480728056654,1.573168333333335,-80.62150000000001,0.5536367066392852,0.0
