as_of_date,step_week,Date,predicted_weekly_log_return,projected_price,anchor_weekly_log_return,raw_1w_log_return
2026-04-02,1,2026-04-09,0.021343251262383758,302.1889358121242,-0.005550053257208604,0.007242192514240742
2026-04-02,2,2026-04-16,0.0019304513340523137,303.1906161866164,-0.006625785437992299,0.0064134374260902405
2026-04-02,3,2026-04-23,-0.04515421197122288,290.2046337436446,-0.006982295303494157,0.00569420401006937
2026-04-02,4,2026-04-30,0.015499841751777007,295.14446996601885,-0.005322646752723343,0.009376863949000835
2026-04-02,5,2026-05-07,0.003983797194603546,296.73146691997096,-0.006269123502927906,0.008396094664931297
2026-04-02,6,2026-05-14,-0.06289533540580157,279.02769951024106,-0.006757357821857974,0.006767612416297197
2026-04-02,7,2026-05-21,-0.05942692768284288,263.29180617314756,-0.0039504589426607945,0.012798081152141094
2026-04-02,8,2026-05-28,-0.032738470895041505,255.16318739783068,-0.0010306447984406847,0.020196814090013504
2026-04-02,9,2026-06-04,-0.005677704122392584,254.0686237077015,0.0007309010958149164,0.021266581490635872
2026-04-02,10,2026-06-11,-0.006799095265258667,252.69522619293141,0.0011078778733565342,0.021266581490635872
2026-04-02,11,2026-06-18,0.018811258064750664,257.849014048386,0.0016020636945199842,0.019616222009062767
2026-04-02,12,2026-06-25,0.04336406143589443,269.64791077952844,0.0004547840698379389,0.020355720072984695
2026-04-02,13,2026-07-02,0.002213010942401514,270.6181807995481,-0.0026101643134518104,0.016704119741916656
2026-04-02,14,2026-07-09,-0.03884383972333237,260.6670379972587,-0.0029811777946712964,0.014333329163491726
2026-04-02,15,2026-07-16,-0.0032433317122987707,260.18147293619415,7.377366050459582e-06,0.01978393644094467
2026-04-02,16,2026-07-23,0.025390458601850435,267.2404018205899,0.0003028963731731169,0.018873075023293495
2026-04-02,17,2026-07-30,0.0557758474490906,282.95936415393714,-0.002205859849694615,0.017650699242949486
2026-04-02,18,2026-08-06,0.004987531635626334,284.7665281530221,-0.008648271771781861,0.007698991801589727
2026-04-02,19,2026-08-13,0.03528607497095966,295.40123052774345,-0.010352747197707885,0.010132865980267525
2026-04-02,20,2026-08-20,-0.007892840622725432,293.483233264591,-0.016872578936088962,0.003683254588395357
2026-04-02,21,2026-08-27,-0.021505312873867876,287.63548849772656,-0.01836920198831622,0.004566006828099489
2026-04-02,22,2026-09-03,0.018380713183910876,293.3755539662695,-0.017741979811205885,0.009605616331100464
2026-04-02,23,2026-09-10,-0.01333328369612846,289.8892850505649,-0.026772653059985076,0.005241004750132561
2026-04-02,24,2026-09-17,-0.04703360860465519,276.9520209075469,-0.03125244284793728,0.007856400683522224
2026-04-02,25,2026-09-24,-0.04582784801928792,264.9113519602634,-0.023361859969578326,0.009540840052068233
2026-04-02,26,2026-10-01,-0.036745079378590256,255.7061632401975,-0.0008958719198687293,0.013233019970357418
